"animal_name","ring_id","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"Monica 8","PAL-0001","Adelie","Torgersen",39.1,18.7,181,3750,"male",2007
"Jessica 37","PAL-0002","Adelie","Torgersen",39.5,17.4,186,3800,"female",2007
"Angela 36","PAL-0003","Adelie","Torgersen",40.3,18,195,3250,"female",2007
"Pamela 11","PAL-0004","Adelie","Torgersen",NA,NA,NA,NA,NA,2007
"Monica 22","PAL-0005","Adelie","Torgersen",36.7,19.3,193,3450,"female",2007
"Jessica 36","PAL-0006","Adelie","Torgersen",39.3,20.6,190,3650,"male",2007
"Erica 8","PAL-0007","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"Jessica 15","PAL-0008","Adelie","Torgersen",39.2,19.6,195,4675,"male",2007
"Rita 35","PAL-0009","Adelie","Torgersen",34.1,18.1,193,3475,NA,2007
"Monica 17","PAL-0010","Adelie","Torgersen",42,20.2,190,4250,NA,2007
"Pamela 7","PAL-0011","Adelie","Torgersen",37.8,17.1,186,3300,NA,2007
"Pamela 3","PAL-0012","Adelie","Torgersen",37.8,17.3,180,3700,NA,2007
"Jessica 28","PAL-0013","Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"Pamela 32","PAL-0014","Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"Rita 23","PAL-0015","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"Tina 22","PAL-0016","Adelie","Torgersen",36.6,17.8,185,3700,"female",2007
"Erica 33","PAL-0017","Adelie","Torgersen",38.7,19,195,3450,"female",2007
"Mary 13","PAL-0018","Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"Tina 37","PAL-0019","Adelie","Torgersen",34.4,18.4,184,3325,"female",2007
"Sandra 30","PAL-0020","Adelie","Torgersen",46,21.5,194,4200,"male",2007
"Erica 31","PAL-0021","Adelie","Biscoe",37.8,18.3,174,3400,"female",2007
"Pamela 19","PAL-0022","Adelie","Biscoe",37.7,18.7,180,3600,"male",2007
"Angela 19","PAL-0023","Adelie","Biscoe",35.9,19.2,189,3800,"female",2007
"Angela 4","PAL-0024","Adelie","Biscoe",38.2,18.1,185,3950,"male",2007
"Jessica 2","PAL-0025","Adelie","Biscoe",38.8,17.2,180,3800,"male",2007
"Angela 15","PAL-0026","Adelie","Biscoe",35.3,18.9,187,3800,"female",2007
"Jessica 22","PAL-0027","Adelie","Biscoe",40.6,18.6,183,3550,"male",2007
"Pamela 1","PAL-0028","Adelie","Biscoe",40.5,17.9,187,3200,"female",2007
"Angela 17","PAL-0029","Adelie","Biscoe",37.9,18.6,172,3150,"female",2007
"Jessica 11","PAL-0030","Adelie","Biscoe",40.5,18.9,180,3950,"male",2007
"Angela 10","PAL-0031","Adelie","Dream",39.5,16.7,178,3250,"female",2007
